,6-idle-simple2-fjsp-2000-v,converged_iterations,total_time,min
la01,582.0,1637.0,89.14494323730469,578.0
la02,542.0,2951.0,165.05970287322998,534.0
la03,491.0,1664.0,91.38396501541138,483.0
la04,534.0,1529.0,82.74106502532959,512.0
la05,468.0,890.0,46.272151470184326,463.0
la06,806.0,2636.0,198.85873246192932,802.0
la07,760.0,1262.0,91.82223558425903,754.0
la08,771.0,2243.0,168.73934721946716,768.0
la09,860.0,3338.0,253.55589127540588,855.0
la10,813.0,1775.0,133.01944851875305,807.0
la11,1090.0,2630.0,369.4516866207123,1075.0
la12,942.0,4910.0,704.6874258518219,937.0
la13,1043.0,2537.0,361.54291796684265,1039.0
la14,1073.0,1754.0,241.5185844898224,1071.0
la15,1093.0,3488.0,493.4662480354309,1090.0
la16,735.0,812.0,62.689717054367065,717.0
la17,646.0,1130.0,92.47452878952026,646.0
la18,663.0,983.0,79.22443222999573,663.0
la19,625.0,1034.0,82.47377371788025,619.0
la20,756.0,2912.0,248.65549278259277,756.0
la21,818.0,1211.0,201.8233242034912,807.0
la22,755.0,2165.0,378.0796549320221,745.0
la23,833.0,2858.0,490.76249384880066,819.0
la24,795.0,2717.0,474.72538709640503,787.0
la25,771.0,5216.0,938.4888174533844,767.0
la26,1060.0,2621.0,604.8037724494934,1057.0
la27,1096.0,4139.0,934.0452919006348,1087.0
la28,1088.0,4346.0,986.2384898662567,1080.0
la29,1002.0,3185.0,717.9374747276306,1002.0
la30,1081.0,4781.0,1099.1127648353577,1075.0
la31,1524.0,2771.0,963.9651124477386,1521.0
la32,1664.0,2537.0,893.0289046764374,1664.0
la33,1509.0,3122.0,1106.79820394516,1502.0
la34,1562.0,4442.0,1610.7244863510132,1548.0
la35,1561.0,5099.0,1799.9850120544434,1553.0
la36,957.0,1028.0,221.77543020248413,948.0
la37,990.0,2183.0,492.9526262283325,986.0
la38,949.0,812.0,163.67748880386353,943.0
la39,950.0,1247.0,275.47319650650024,936.0
la40,955.0,1493.0,326.2281413078308,955.0
