,6-idle-simple2-fjsp-2000-vdata,converged_iterations,total_time,min
abz5,883.0,1196.0,89.85607981681824,876.0
abz6,745.0,1172.0,88.14120125770569,742.0
abz7,503.0,5132.0,1507.129136800766,497.0
abz8,514.0,3398.0,1021.2358803749084,513.0
abz9,504.0,6071.0,1839.4148445129395,501.0
car1,5100.0,2438.0,133.96453642845154,5040.0
car2,5981.0,10238.0,557.497896194458,5948.0
car3,5855.0,1697.0,95.28774046897888,5707.0
car4,6794.0,6374.0,369.97261095046997,6681.0
car5,5156.0,2678.0,151.58189725875854,5014.0
car6,5735.0,2024.0,125.74500966072083,5486.0
car7,4669.0,707.0,31.964326858520508,4664.0
car8,4984.0,1055.0,58.08186483383179,4808.0
la01,588.0,1982.0,99.35213589668274,578.0
la02,576.0,1388.0,68.4767701625824,533.0
la03,488.0,1778.0,89.77374815940857,483.0
la04,516.0,1277.0,63.417783975601196,512.0
la05,470.0,1748.0,86.0477409362793,461.0
la06,806.0,1733.0,117.22986149787903,802.0
la07,762.0,1682.0,112.06171584129333,754.0
la08,770.0,7004.0,498.27479124069214,767.0
la09,863.0,2369.0,163.94977355003357,856.0
la10,813.0,2693.0,188.30360102653503,805.0
la11,1076.0,4361.0,579.3986563682556,1073.0
la12,943.0,1769.0,233.9241383075714,938.0
la13,1049.0,3527.0,480.8783760070801,1039.0
la14,1074.0,8729.0,1189.9272842407227,1070.0
la15,1094.0,2354.0,306.0585732460022,1089.0
la16,731.0,1145.0,85.43041396141052,719.0
la17,646.0,1070.0,80.45329999923706,646.0
la18,663.0,1184.0,87.82352256774902,663.0
la19,620.0,1097.0,81.97021865844727,619.0
la20,756.0,1541.0,115.7721962928772,756.0
la21,809.0,2630.0,421.4512791633606,809.0
la22,750.0,2081.0,332.8579292297363,745.0
la23,839.0,4409.0,715.3265268802643,822.0
la24,783.0,3302.0,540.1756117343903,780.0
la25,768.0,2516.0,408.2661304473877,766.0
la26,1061.0,3353.0,722.8523960113525,1054.0
la27,1100.0,3461.0,746.1988575458527,1088.0
la28,1078.0,5762.0,1277.2219796180725,1074.0
la29,1004.0,6962.0,1484.0592124462128,998.0
la30,1083.0,7187.0,1549.9724707603455,1075.0
la31,1524.0,2114.0,717.5683267116547,1523.0
la32,1666.0,10283.0,3558.2991335392,1663.0
la33,1511.0,6896.0,2328.7818286418915,1506.0
la34,1542.0,4781.0,1671.9034571647644,1538.0
la35,1558.0,2888.0,923.4584436416626,1553.0
la36,953.0,1220.0,248.6587152481079,948.0
la37,1000.0,1481.0,300.4507715702057,991.0
la38,949.0,890.0,172.02027893066406,943.0
la39,950.0,1778.0,370.18148279190063,937.0
la40,971.0,1217.0,248.57883024215698,955.0
mt06,47.0,392.0,13.988536834716797,47.0
mt10,658.0,947.0,71.80473685264587,655.0
mt20,1038.0,1523.0,201.58860039710999,1027.0
orb1,731.0,974.0,70.53128385543823,696.0
orb10,682.0,1148.0,84.32091665267944,681.0
orb2,650.0,1049.0,76.98949909210205,625.0
orb3,663.0,1436.0,106.7174129486084,649.0
orb4,753.0,1367.0,103.40784573554993,753.0
orb5,590.0,923.0,67.1458067893982,584.0
orb6,715.0,992.0,72.91885113716125,715.0
orb7,277.0,1625.0,124.10046887397766,275.0
orb8,605.0,1529.0,115.29503345489502,600.0
orb9,659.0,1493.0,113.11780977249146,659.0
