,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
Mk01,55,44,52,49,49,46,48,68,53,56,54,63
Mk02,55,39,40,37,36,37,39,42,45,42,44,49
Mk03,268,223,231,234,216,211,225,274,244,268,294,274
Mk04,78,83,92,75,74,80,111,122,90,122,122,126
Mk05,235,189,200,191,186,192,221,243,221,234,241,219
Mk06,85,82,97,79,87,85,94,96,93,94,98,97
Mk07,227,256,232,203,189,211,245,213,215,243,216,258
Mk08,601,523,552,533,523,531,649,632,616,642,653,629
Mk09,431,334,361,347,325,347,432,423,416,405,442,438
Mk10,329,280,289,252,254,277,342,353,333,347,331,346
