,12-idle-solution-fjsp-2000-vdata,converged_iterations,total_time,min
la01,580.0,3302.0,203.89829397201538,573.0
la02,547.0,1970.0,111.0197103023529,538.0
la03,492.0,1610.0,90.85540843009949,485.0
la04,519.0,1601.0,89.65967607498169,514.0
la05,479.0,1817.0,101.10408520698547,463.0
la06,812.0,1934.0,153.49701237678528,807.0
la07,759.0,3878.0,306.4309980869293,752.0
la08,779.0,2285.0,177.92372107505798,768.0
la09,859.0,6461.0,515.873428106308,855.0
la10,813.0,1808.0,140.53416633605957,806.0
la11,1083.0,3104.0,327.57404828071594,1076.0
la12,945.0,2042.0,217.36929321289062,937.0
la13,1041.0,2555.0,272.39553022384644,1038.0
la14,1074.0,3590.0,391.0387132167816,1071.0
la15,1098.0,3032.0,326.48538637161255,1091.0
la16,721.0,2546.0,243.99752020835876,717.0
la17,646.0,2924.0,284.2508237361908,646.0
la18,663.0,2258.0,217.76011419296265,663.0
la19,626.0,2681.0,256.6411693096161,617.0
la20,756.0,2798.0,271.0161979198456,756.0
la21,819.0,4373.0,801.6761121749878,808.0
la22,745.0,2627.0,484.4678738117218,745.0
la23,843.0,8684.0,1606.8928935527802,820.0
la24,781.0,3077.0,564.3518459796906,781.0
la25,771.0,3995.0,747.5026972293854,765.0
la26,1065.0,7397.0,1956.3592517375946,1056.0
la27,1091.0,13175.0,3601.644198656082,1088.0
la28,1085.0,13184.0,3600.9935755729675,1075.0
la29,1147.0,10718.0,2772.953117132187,1003.0
la30,1088.0,12851.0,3602.693011045456,1074.0
la31,1837.0,6749.0,3154.4207808971405,1523.0
la32,1670.0,4400.0,2023.3503906726837,1665.0
la33,1511.0,7775.0,3601.9389555454254,1500.0
la34,1545.0,7919.0,3601.707748889923,1538.0
la35,1556.0,7622.0,3604.5170707702637,1552.0
la36,949.0,4580.0,1273.9427421092987,948.0
la37,1001.0,2393.0,636.763610124588,989.0
la38,943.0,4661.0,1289.2761900424957,943.0
la39,951.0,5435.0,1506.043681383133,934.0
la40,960.0,6497.0,1869.0158550739288,955.0
